features_name,feature_importances
Th,172
Yb/Gd,169
Ce,151
Eu/Eu*,151
Age (Ma),150
P,138
U/Yb,132
Eu,127
Nd,126
Ce/Sm,125
Th/U,124
Dose (×1015),119
Sm,111
LREE-I,109
Hf,104
U,98
Gd,92
Ce/Ce*,90
Lu,86
Nb,84
10000×(Eu/Eu*)/YbN,83
Tb,82
1000×(Ce/Nd)N/Y,71
Dy,67
Ho,59
Y,53
Yb,49
Tm,41
Er,37
