features_name,feature_importances
Gd,0.41972226
Eu,0.13809149
Age (Ma),0.11586425
Sm,0.08996002
Ce,0.07418408
z,0.05295578
P,0.043116126
Nd,0.035394035
Yb/Dy,0.030712018
