features_name,feature_importances
Nb,0.3296107965300319
Yb/Gd,0.16009298055809512
Ce,0.1504124963139397
Age (Ma),0.09014873190345445
Lu,0.08155720863990958
10000×(Eu/Eu*)/YbN,0.07183292804184277
Sm,0.06604308526600004
Dose (×1015),0.050301772746726474
